,Unnamed: 0,gene_name,uniprot_ID,permutation risk,permutation prot,permutation -log10,theoretical
7525,0.0,CES3,Q6UWW8,0.0999000999000999,95.90409590409591,3.000434077479319,3.8298181874388777
1565,0.0,NDUFC2,O95298,0.0999000999000999,,3.000434077479319,3.5287881917748964
13067,0.0,EHD2,Q9NZN4,0.0999000999000999,71.82817182817183,3.000434077479319,3.352696932719215
8328,0.0,TBC1D10C,Q8IV04,0.0999000999000999,96.7032967032967,3.000434077479319,3.227758196110915
8426,0.0,PHF6,Q8IWS0,0.0999000999000999,71.82817182817183,3.000434077479319,3.130848183102859
3144,0.0,EEF1D,P29692,0.0999000999000999,,3.000434077479319,3.051666937055234
5842,0.0,SPEG,Q15772,0.0999000999000999,0.0999000999000999,3.000434077479319,2.9847201474246208
11280,0.0,CARD19,Q96LW7,0.0999000999000999,95.7042957042957,3.000434077479319,2.926728200446934
1512,0.0,VAMP5,O95183,0.0999000999000999,96.90309690309691,3.000434077479319,2.8755756779995525
3019,0.0,PIK3R1,P27986,0.0999000999000999,99.9000999000999,3.000434077479319,2.8298181874388777
1016,0.0,ROCK2,O75116,0.0999000999000999,68.73126873126873,3.000434077479319,2.7884255022806523
4723,0.0,FOXO1,Q12778,0.0999000999000999,65.03496503496504,3.000434077479319,2.7506369413912526
145,0.0,C5orf51,A6NDU8,0.0999000999000999,75.62437562437563,3.000434077479319,2.7158748351320408
2684,0.0,NT5E,P21589,0.0999000999000999,0.0999000999000999,3.000434077479319,2.6836901517606395
9134,0.0,UBR7,Q8N806,0.0999000999000999,37.01298701298701,3.000434077479319,2.6537269283831963
12119,0.0,PKIB,Q9C010,0.0999000999000999,,3.000434077479319,2.6256982047829527
11719,0.0,MAP3K3,Q99759,0.0999000999000999,10.889110889110889,3.000434077479319,2.5993692660606036
5225,0.0,KCNC3,Q14003,0.0999000999000999,90.40959040959041,3.000434077479319,2.5745456823355712
8214,0.0,KMT5C,Q86Y97,0.0999000999000999,88.21178821178822,3.000434077479319,2.5510645864860484
11190,0.0,ACY3,Q96HD9,0.0999000999000999,0.0999000999000999,3.000434077479319,2.5287881917748964
2406,0.0,ATF7,P17544,0.0999000999000999,74.42557442557442,3.000434077479319,2.507598892704958
3627,0.0,CYB561,P49447,0.0999000999000999,100.0,3.000434077479319,2.487395506616671
3549,0.0,GSS,P48637,0.0999000999000999,7.792207792207792,3.000434077479319,2.4680903514212846
13861,0.0,CRYL1,Q9Y2S2,0.0999000999000999,0.0999000999000999,3.000434077479319,2.4496069457272713
2233,0.0,ANPEP,P15144,0.1998001998001998,100.0,2.6994040818153375,2.4318781787668398
8954,0.0,STX19,Q8N4C7,0.1998001998001998,94.3056943056943,2.6994040818153375,2.4148448394680595
8716,0.0,FAM9B,Q8IZU0,0.1998001998001998,91.4085914085914,2.6994040818153375,2.3984544232798903
3565,0.0,IDH2,P48735,0.1998001998001998,0.0999000999000999,2.6994040818153375,2.3826601560966583
9856,0.0,PLBD2,Q8NHP8,0.1998001998001998,0.0999000999000999,2.6994040818153375,2.367420189539921
5543,0.0,NAA25,Q14CX7,0.1998001998001998,84.21578421578421,2.6994040818153375,2.352696932719215
9249,0.0,LMNTD1,Q8N9Z9,0.1998001998001998,92.007992007992,2.6994040818153375,2.3384564936046046
26,0.0,FSD2,A1L4K1,0.2997002997002997,27.172827172827173,2.523312822759656,2.3246682091189714
8928,0.0,ZCCHC7,Q8N3Z6,0.2997002997002997,99.9000999000999,2.523312822759656,2.31130424756099
8250,0.0,MIB1,Q86YT6,0.2997002997002997,88.1118881118881,2.523312822759656,2.2983392703966223
1740,0.0,BAG2,O95816,0.2997002997002997,29.47052947052947,2.523312822759656,2.285750143088602
5481,0.0,NAA30,Q147X3,0.2997002997002997,78.92107892107892,2.523312822759656,2.2735156866715904
5692,0.0,ANGPT1,Q15389,0.2997002997002997,99.9000999000999,2.523312822759656,2.2616164633718827
2961,0.0,CNTF,P26441,0.2997002997002997,99.4005994005994,2.523312822759656,2.2500345908220676
10452,0.0,CCNB3,Q8WWL7,0.2997002997002997,72.72727272727273,2.523312822759656,2.238753580412378
5775,0.0,TRAM1,Q15629,0.2997002997002997,100.0,2.523312822759656,2.227758196110915
610,0.0,BUB3,O43684,0.2997002997002997,93.3066933066933,2.523312822759656,2.217034330719142
528,0.0,RAD51C,O43502,0.2997002997002997,95.00499500499501,2.523312822759656,2.206568897040977
4213,0.0,PLCB2,Q00722,0.2997002997002997,99.8001998001998,2.523312822759656,2.196349731859291
6860,0.0,LARP1B,Q659C4,0.3996003996003996,94.4055944055944,2.3983740861513563,2.1863655109526903
10342,0.0,CACTIN,Q8WUQ7,0.3996003996003996,87.61238761238761,2.3983740861513563,2.1766056736635337
