,Unnamed: 0,gene_name,uniprot_ID,Mann-Whitney p-val,permutation p-val,permutation -log10,theoretical
0,0,UBE2M,P61081,0.3836898881793415,82.91708291708292,3.000434077479319,3.9893608137762473
1,1,UBE2N,P61088,0.10796246947007017,96.003996003996,3.000434077479319,3.688330818112266
2,2,CNTN6,Q9UQ52,0.030699175988877173,89.41058941058941,3.000434077479319,3.512239559056585
3,3,AK4,P27144,0.27726520324471204,78.42157842157843,3.000434077479319,3.3873008224482852
4,4,CEACAM7,Q14002,0.00713350066323229,70.02997002997003,3.000434077479319,3.2903908094402285
5,5,KCNC3,Q14003,0.02591496360895484,0.7992007992007992,3.000434077479319,3.211209563392604
6,6,CDK13,Q14004,0.38616872064639024,4.4955044955044965,3.000434077479319,3.144262773761991
7,7,IL16,Q14005,0.0023828411624386057,76.023976023976,3.000434077479319,3.086270826784304
8,8,CKAP5,Q14008,0.3040384397329614,42.25774225774226,3.000434077479319,3.0351183043369225
9,9,FCHO2,Q0JRZ9,0.1952141387921496,0.0999000999000999,3.000434077479319,2.9893608137762473
10,10,ANKRD36C,Q5JPF3,0.22505105055632246,0.0999000999000999,3.000434077479319,2.9479681286180224
11,11,SPINT4,Q6UDR6,0.006092890177672406,79.52047952047953,3.000434077479319,2.9101795677286226
12,12,IL23R,Q5VWK5,0.299108882245516,54.54545454545455,3.000434077479319,2.875417461469411
13,13,TRAPPC3L,Q5T215,0.4354955973987317,94.50549450549453,3.000434077479319,2.8432327780980096
14,14,GTPBP3,Q969Y2,0.3604924309508354,1.0989010989010992,3.000434077479319,2.8132695547205664
15,15,NXPE3,Q969Y0,0.07980688251326712,31.96803196803197,3.000434077479319,2.7852408311203227
16,16,BPHL,Q86WA6,0.2186288878548021,69.03096903096903,3.000434077479319,2.7589118923979736
17,17,SLC26A11,Q86WA9,0.1754202803041186,65.63436563436565,3.000434077479319,2.7340883086729413
18,18,LONP2,Q86WA8,0.007457388998368089,67.33266733266733,3.000434077479319,2.7106072128234184
19,19,HMGXB3,Q12766,0.1855466847613488,32.467532467532465,3.000434077479319,2.6883308181122665
20,20,FOXP4,Q8IVH2,0.2979415452825889,55.344655344655344,3.000434077479319,2.667141519042328
21,21,C3orf52,Q5BVD1,0.05237777368232185,17.282717282717282,3.000434077479319,2.646938132954041
22,22,NDUFS2,O75306,0.009686659665796444,30.36963036963037,3.000434077479319,2.6276329777586547
23,23,RORB,Q92753,0.2293592793625111,78.72127872127872,3.000434077479319,2.6091495720646414
24,24,SFRP5,Q5T4F7,0.4873606164983257,37.06293706293707,3.000434077479319,2.59142080510421
25,25,ZFYVE27,Q5T4F4,0.004066010949440918,96.7032967032967,3.000434077479319,2.5743874658054295
26,26,CDH16,O75309,0.329435311410818,0.0999000999000999,3.000434077479319,2.55799704961726
27,27,PRSS55,Q6UWB4,0.04354416882586409,51.14885114885114,3.000434077479319,2.5422027824340283
28,28,ABI3,Q9P2A4,4.624673642941295e-05,60.13986013986015,3.000434077479319,2.526962815877291
29,29,SNAI2,O43623,0.17761294064363947,91.30869130869131,3.000434077479319,2.512239559056585
30,30,CSTF3,Q12996,0.0003022688497275727,50.04995004995005,3.000434077479319,2.4979991199419747
31,31,ALDH6A1,Q02252,1.4215455042654542e-09,0.0999000999000999,3.000434077479319,2.4842108354563415
32,32,ULK4,Q96C45,0.2381720993546344,58.441558441558435,3.000434077479319,2.4708468738983598
33,33,MYBPHL,A2RUH7,0.0013794558769493464,87.6123876123876,3.000434077479319,2.4578818967339924
34,34,TXNDC5,Q8NBS9,0.39960482845511,48.551448551448544,3.000434077479319,2.4452927694259716
35,35,AK8,Q96MA6,0.005886525488358221,0.0999000999000999,3.000434077479319,2.43305831300896
37,37,DMRTB1,Q96MA1,0.033096289861096716,0.0999000999000999,3.000434077479319,2.4211590897092523
38,38,ADGRF1,Q5T601,0.34804401682835184,27.47252747252747,3.000434077479319,2.409577217159437
39,39,SESTD1,Q86VW0,0.24025820123851585,80.21978021978022,3.000434077479319,2.398296206749748
40,40,ARHGEF25,Q86VW2,0.09368493163702374,56.743256743256744,3.000434077479319,2.3873008224482852
41,41,MTPAP,Q9NVV4,0.00797917703647803,0.0999000999000999,3.000434077479319,2.376576957056512
42,42,AIG1,Q9NVV5,0.13517207032739004,27.97202797202797,3.000434077479319,2.366111523378347
43,43,TMEM38B,Q9NVV0,0.2675055500771468,0.0999000999000999,3.000434077479319,2.355892358196661
44,44,FRMPD2,Q68DX3,0.23409595590629995,42.55744255744256,3.000434077479319,2.34590813729006
45,45,FAM133B,Q5BKY9,0.08895479749349122,85.61438561438561,3.000434077479319,2.336148300000904
46,46,LRRC10,Q5BKY1,0.4969721731496622,76.52347652347652,3.000434077479319,2.3266029820946734
47,47,TRAF1,Q13077,0.0001457038590942861,0.0999000999000999,3.000434077479319,2.31726295584053
48,48,NAIP,Q13075,0.4172658113554644,40.45954045954046,3.000434077479319,2.30811957640066
49,49,ARRDC5,A6NEK1,0.038223087998554776,19.98001998001998,3.000434077479319,2.299164733747734
50,50,ZNF618,Q5T7W0,0.0017062715647567935,0.0999000999000999,3.000434077479319,2.2903908094402285
51,51,OR8G5,Q8NG78,0.21849095039072536,58.94105894105894,3.000434077479319,2.281790637678311
52,52,OR2T12,Q8NG77,0.09223543882424118,26.673326673326674,3.000434077479319,2.2733574701414483
53,53,OR2T33,Q8NG76,0.10614691809616578,28.17182817182817,3.000434077479319,2.2650849441754586
